stdev_period,stdevF0,stdev_mfcc_7,mean_slope_Mel,mean_harmony,first_mean_harmony,Jitter_loc_h_a,localShimmer_h_a,localdbShimmer_h_a,apq3Shimmer_h_a,aqpq5Shimmer_h_a,ddaShimmer_h_a,mean_slope_Mel_h_a,mean_harmony_h_a,first_mean_harmony_h_a,Jitter_rap_lhl_a,localdbShimmer_lhl_a,mean_mfcc_2_lhl_a,mean_mfcc_7_lhl_a,stdev_mfcc_2_lhl_a,stdev_onset_env_lhl_a,stdev_pitches_lhl_a,meanF0_n_a,mean_mfcc_2_n_a,mean_mfcc_8_n_a,lpc1_n_a,mean_slope_Mel_n_a,pitch_quantile_n_a,Spec_Power_2_n_a,mean_harmony_n_a,Jitter_loci_features,apq11Shimmeri_features,mean_magnitudesi_features,mean_chroma_4i_features,sd_chroma_4i_features,mean_slope_Hzi_features,mean_slope_Meli_features,mean_mfcc_6_h_i,mean_magnitudes_h_i,mean_slope_Hz_h_i,mean_mfcc_9_lhl_i,mean_magnitudes_lhl_i,mean_harmony_lhl_i,first_mean_harmony_lhl_i,mean_chroma_0_n_i,mean_slope_Mel_n_i,stdev_periodu_features,mean_mfcc_4u_features,mean_slope_Hzu_features,mean_slope_Melu_features,mean_slope_Mel_h_u,mean_mfcc_4_lhl_u,mean_onset_env_lhl_u,sd_mfcc_delta_5_lhl_u,sd_mfcc_delta_10_lhl_u,stdev_mfcc_10_lhl_u,stdev_period_n_u,mean_slope_Hz_n_u,mean_slope_Mel_n_u,hnrphrase_features,num_periodsphrase_features,mean_mfcc_2phrase_features,mean_mfcc_delta_3phrase_features,mean_mfcc_delta_4phrase_features,mean_fcc_delta_11phrase_features,stdev_mfcc_2phrase_features,stdev_onset_envphrase_features,max_rmsphrase_features,min_rmsphrase_features,sd_mfcc_delta_2phrase_features,sd_mfcc_delta_3phrase_features,sd_mfcc_delta_7phrase_features,high_indexphrase_features,Spec_Power_1phrase_features,Spec_Power_2phrase_features,Spec_Power_3phrase_features,CPPSphrase_features,mean_autocorrelationphrase_features,LSF_0,spectral_flux_stda_lhl,spectral_spread_meana_lhl,LSF_0a_lhl,spectral_spread_meani_n,shannon_entropy_slidingwindow_first_derivative_stdi_n,spectral_slope_meani_l,f2i_l,spectral_skewness_meani_h,spectral_kurtosis_meani_h,crest_factor_meanu_n,ppeu_l,spectral_slope_std_phrases,spectral_flux_mean_phrases,spectral_flux_std_phrases,spectral_flux_first_derivative_mean_phrases,spectral_entropy_first_derivative_std_phrases,spectral_spread_mean_phrases,spectral_skewness_first_derivative_std_phrases,spectral_kurtosis_first_derivative_std_phrases,spectral_flatness_std_phrases,spectral_rolloff_std_phrases,ppe_phrases,LPC_4_phrases,kurtosis_slidingwindow_first_derivative_mean_phrases,shannon_entropy_slidingwindow_first_derivative_mean_phrases
0.000144295,4.275808885,2.698521376,95.73165283,22.11940463,23.23478919,0.005552844,0.044599823,0.390877575,0.025016421,0.026292854,0.075049264,41.24365388,22.91998526,23.18912026,0.002886635,0.430668638,-36.06064606,3.780512571,12.70411587,0.741268754,63.8284874,196.474085,-23.48528671,-13.39613819,-2.306942225,132.5356481,164.128444,0.219466859,21.21256799,0.003970919,0.017103773,0.131231114,0.145612553,0.183442011,91.5479976,68.88277143,5.178085327,0.269925028,114.5344519,-26.93565178,0.152167305,36.70443157,35.64194331,0.093508303,100.7172855,0.000202386,-10.04293346,77.41515605,59.61384083,35.92002268,-28.43971443,1.071863651,1.468732595,0.827382445,5.607621193,0.002299296,380.8357973,311.1825159,-0.00035357,456,24.73346901,0.210096449,0.137257665,-0.195023894,24.82724762,2.62313056,0.189504936,0.001406252,4.093858242,4.861670017,2.444377899,83,1.60E-05,0.004020453,0.560125649,11.61239784,5.89E-06,0.113436018,0.028489059,2351.041525,0.106914101,2900.007449,15.85734756,-0.00214486,2482.404435,0.004652692,-2.971794983,1.82003212,-155.6894791,0.001127636,0.022942631,0.020946153,2.38E-05,0.354637206,3565.897287,0.000455452,0.003145095,0.014938335,4427.125017,2.568688493,0.713149369,0.003334196,-5.25E-05
0.000134259,5.159430003,4.96743536,120.3614271,20.9266676,21.06117345,0.006209644,0.031991024,0.280196884,0.018486537,0.02006705,0.05545961,36.21174491,24.55795966,23.34912367,0.002504897,0.202220673,-77.61946869,3.518869638,12.367136,0.940269291,79.78926849,258.3619262,-77.92579651,-19.91544724,-2.793852568,66.58338645,214.1975193,2.705250297,23.79810552,0.004461338,0.014941403,0.095909111,0.016691873,0.009785252,120.5386609,83.21560036,-3.840344667,0.107206948,72.29909857,-8.650866508,0.14045009,27.62605657,26.95985407,0.279150486,60.80423485,6.01E-05,-22.96187401,76.07598811,52.97496903,44.44837278,-42.93722534,1.296300054,1.227785468,1.598908663,7.698947906,2.64E-05,54.76136674,36.71226278,9.87E-05,397,17.64397049,0.279492378,0.380768925,-0.237260401,41.06377792,2.370048523,0.323441356,0.001521353,6.947474003,4.793765545,1.908282161,86,6.21E-07,0.657226095,0.000315307,12.04365789,2.75E-07,0.133837155,0.023076599,1706.335809,0.133951266,3291.771357,6.489551746,-0.001768209,3124.137221,0.002009079,-2.992452508,1.706113219,-339.4448823,0.001586458,0.027702151,0.028160907,1.63E-05,0.353298992,2951.590506,0.000586185,0.005788737,0.008961039,3669.92009,6.982835964,0.6473369,0.000353663,-0.000294838
8.66E-05,1.009720962,3.26090765,26.21231259,27.1362629,26.45944756,0.002663266,0.01034756,0.090485868,0.004856335,0.005613684,0.014569004,19.68382307,31.47412486,31.52635017,0.002419631,0.396170416,-52.1574707,10.07926559,15.80731678,0.806428075,121.3576965,179.061358,-48.4847908,-44.77494431,-2.894251108,19.68382307,155.1071099,0.200059757,31.47412486,0.002067838,0.009387562,0.118200235,0.074652895,0.032303203,18.54035731,15.40518763,-3.577433825,0.118200235,18.54035731,9.255094528,0.130718291,19.3758248,18.31506857,0.030185821,15.40518763,0.000103158,5.620300293,27.85515103,23.25973415,19.44939893,-11.70577526,1.056778312,2.1836586,1.07052505,5.986132622,2.48E-05,25.80365131,19.44939893,0.000116852,107,18.78423309,0.340141475,0.503215134,0.251264989,35.11272812,2.048045635,0.274352938,0.001530297,8.114354134,4.86466074,1.986385703,46,0.00271565,0.000285188,0.000314625,14.16878317,7.19E-07,0.081995405,0.025907174,1452.054216,0.101033205,1940.414904,4.370691789,-0.002356283,2859.916678,0.002337282,-2.984907565,2.199873686,-704.3019676,0.001839722,0.020462256,0.018851738,7.68E-06,0.327167451,2454.756651,0.000700158,0.00756828,0.009151649,3400.977492,-2.093569126,0.679707706,0.00281356,-0.000377187
0.000880895,19.62636672,6.892071724,172.814706,9.989303844,11.13410886,0.0065138,0.027207546,0.233946785,0.014745802,0.015955811,0.044237406,52.42607443,25.03218102,25.96481687,0.006653601,0.461192345,-16.13225937,-4.397908211,10.70212555,0.93513453,88.54134369,169.329504,-1.405866623,6.053696632,-2.167755127,306.6279219,152.8379827,0.07254694,20.47290401,0.008161684,0.058032867,0.053993188,0.117611408,0.079230092,88.72276988,69.46326543,-10.4194746,0.215707034,117.1511082,-35.08829117,0.156124681,23.64335989,15.31192062,0.047493786,88.82264782,0.001787254,-19.66854095,132.8514664,107.1492628,145.3758829,-26.58917618,1.001211166,1.003713131,1.164893389,8.322249413,0.00010818,214.1789554,145.3758829,0.000321098,260,31.80442047,0.443975687,0.743961155,0.042287488,24.42051506,1.875118017,0.219518408,0.00224534,4.971800327,3.516811132,3.303421497,77,0.00028808,0.188739596,0.000226162,8.087449159,7.94E-06,0.069841762,0.014813866,2610.535534,0.084730475,3589.721276,8.767848039,-0.000984274,2359.148016,0.003216391,-2.984541576,1.446078658,-81.48218041,0.001105929,0.022264561,0.017654067,4.60E-05,0.306116194,3149.290826,0.000458872,0.003601608,0.006704026,3009.955868,6.431090105,0.529659629,0.003012784,0.001185062
0.000161413,1.618079257,2.893761396,23.32300895,27.72489277,27.05792668,0.002522779,0.01145413,0.101904707,0.005268026,0.007004634,0.015804077,17.88296029,27.34353866,29.07331142,0.000950759,0.189047749,-40.99767303,-5.947602272,15.10346508,0.628252864,73.28101349,115.6231475,-16.05429077,-20.70186996,-2.528275013,22.29457629,104.7863149,0.039625111,24.78510364,0.002970877,0.016174956,0.14717488,0.54091531,0.185039893,28.65571604,24.03156097,9.990904808,0.141323164,29.6021182,9.06110096,0.166532829,28.32889446,27.64144684,0.085283116,21.01308448,0.000135942,-14.72323322,23.11889219,19.44563636,17.81414368,-35.99463272,1.236861467,1.270696759,0.816558599,6.389259815,8.35E-05,22.31978477,18.43770483,-0.000147418,129,26.8677063,0.201736733,0.842693329,-0.036287986,22.53966904,2.211472511,0.206038237,0.003600136,3.803192616,4.572273731,2.454518318,54,0.000640641,0.413209654,9.48E-06,12.55948499,1.36E-06,0.086750417,0.016318584,1715.304705,0.095994635,2520.105457,11.24590611,-0.003211708,2570.169838,0.002439236,-2.990302071,1.89828074,-559.3107077,0.001181244,0.020131804,0.018961746,6.03E-06,0.322279483,2452.06363,0.000669938,0.00780916,0.001198224,2380.327809,5.583121176,0.51262325,-0.009849596,-0.001778046
0.000330391,9.238401232,4.720716,210.3783249,15.04854712,16.50800985,0.008702523,0.053595254,0.550211119,0.014658712,0.021118199,0.043976137,405.1987168,18.47181172,10.78591104,0.003450699,0.437193829,-17.76715279,-1.182013631,22.12282753,1.315009952,98.15437317,191.9519103,-5.229338646,-20.6815052,-1.918640018,325.32973,166.3064949,0.00715205,15.97653311,0.013332513,0.091221027,0.115060478,0.23256129,0.330464303,288.8396089,219.0950054,26.45199013,0.116169341,213.0517317,6.334763527,0.164271951,21.25815733,15.91481769,0.030655799,256.0758904,0.000687428,-11.56222916,338.8424428,257.2365642,435.841058,-27.52802849,1.454947472,1.346245289,1.084619761,5.822751522,0.002080728,439.5744013,352.0032147,0.00020741,403,32.53596497,0.372412682,0.495148778,-0.004873089,30.54468536,2.713810682,0.432413787,0.010289835,4.345316887,4.435643196,2.491503,64,2.99E-06,0.241256735,1.96E-06,9.685553689,6.90E-07,0.090903825,0.046106208,1968.025203,0.107499845,3321.653127,13.96409255,-0.00228832,3270.381721,0.002890331,-2.987264082,2.304323435,-7.105192126,0.001958883,0.050184645,0.037846044,0.00018308,0.419726759,3210.39733,0.000553296,0.004709889,0.005143722,3245.768424,11.92218815,0.656482577,-0.00655112,0.001368175
3.87E-05,1.313537604,3.855163336,24.301022,25.51955173,24.93836603,0.003861544,0.017847293,0.15611211,0.009938144,0.010263741,0.029814432,25.99908817,24.78024588,25.02030202,0.001528496,0.152255225,-31.19731712,11.53240108,19.78515816,0.855112433,72.81131744,197.6244578,-40.27030182,-27.65283012,-2.187185049,25.99908817,168.9044763,1.033670722,24.78024588,0.003217763,0.022077232,0.071889609,0.012394517,0.00355269,28.94925562,21.36397084,-2.456679583,0.221220955,40.7110761,-9.115449905,0.135327056,21.41972532,21.70021267,0.030744409,31.35468306,3.78E-05,-1.063606381,33.7418395,24.67391598,22.97300995,-7.323093414,1.194765091,1.089772344,0.635399818,4.770789623,2.64E-05,27.63197396,20.07274365,-0.000272941,223,29.04825974,1.009481549,1.079870105,0.10075821,22.18162727,2.095097542,0.193280876,0.004142034,4.015131474,6.132905483,1.87829566,85,0.000727739,0.000190962,9.52E-06,11.3094982,4.96E-06,0.11789159,0.043243788,2368.404225,0.121302652,3637.209838,10.51066575,-0.00144202,3147.22311,0.001462478,-2.99507249,2.162427187,-427.2883867,0.001040263,0.021244403,0.018557524,9.24E-05,0.384758711,3390.861399,0.000486683,0.003280712,0.013532972,3787.639536,-7.313246087,0.726766706,0.194530986,-0.002160622
0.000146487,2.894229825,8.395259857,77.32605492,20.33340512,18.91235306,0.017617794,0.06561046,0.849738944,0.026219294,0.036928755,0.078657883,187.0945098,18.90361816,17.33224273,0.002909629,0.259501398,-7.154114723,35.01968765,17.67480087,0.75927496,76.85250854,156.7158422,22.42238998,-12.49821663,-1.774180532,82.37372225,139.0037446,0.183465075,24.62236408,0.003078435,0.011267191,0.364698261,0.305326104,0.239830524,58.34502397,45.8066292,-28.92095566,0.181647509,77.12135498,-38.45781708,0.154985219,28.48432342,27.99773274,0.001340926,115.0475788,0.000259636,-4.323203564,140.2226558,109.7945742,76.79010389,-22.40462303,1.239593029,1.17262125,1.06428659,5.048172474,0.000428053,131.6856017,97.39686724,0.000439456,340,26.87218285,0.379897833,0.301326364,-0.105809592,22.91234779,2.808025837,0.183736563,0.001266837,4.062609673,4.244115829,2.92843771,77,1.13E-06,6.85E-05,0.013615473,12.04926468,9.75E-06,0.059796202,0.01836939,2179.741728,0.086624441,2737.013558,13.98028011,-0.005259898,2798.342127,0.002565427,-2.990215715,1.884303093,-31.43624931,0.000935328,0.021077756,0.016305508,3.25E-05,0.357226878,2733.250749,0.000522993,0.005066004,0.006970799,3012.872714,5.692984091,0.526372075,0.008797227,0.000249193
0.000107124,1.170723385,2.903982162,34.87831757,15.79294804,17.05492491,0.008685047,0.075721778,0.6969264,0.034061469,0.052512598,0.102184408,44.69409629,17.01794546,17.53092519,0.004848808,0.6969264,-2.880377769,30.09082603,18.37831497,0.72950536,65.10681152,115.4939029,-18.67299461,-3.962347031,-2.618465424,35.84072764,104.8724788,0.033047596,18.32591201,0.004610758,0.028147958,0.165750802,0.205793038,0.093479194,34.78376851,29.03005361,8.88105011,0.041713763,37.17385745,3.173993826,0.151830703,22.69972256,20.94730972,0.118199632,39.63094707,0.001048363,5.178201199,52.10400953,43.66688287,35.60824623,5.469951153,1.079981446,0.777921975,0.771978974,3.741314888,0.000108088,27.71063721,22.86406245,0.000239784,335,26.62897301,0.020645825,0.013614698,0.029657863,27.31553459,2.701283932,0.300584316,0.000964472,5.101293564,4.956305027,2.537273645,53,5.63E-05,3.28E-06,0.003043887,11.67220159,2.39E-06,0.096063198,0.016020618,2292.23421,0.088237118,2529.471139,5.498767839,-0.004005695,2189.518167,0.002417083,-2.989133876,1.41675365,-402.1350271,0.001593673,0.02208218,0.022777794,1.05E-05,0.291968673,3047.241502,0.000537263,0.005283904,0.006990266,3952.794629,6.956083488,0.566550195,0.001218232,-0.000222885
0.000108717,2.303587433,6.75803566,35.24296547,20.08879609,22.09513892,0.004561724,0.037708758,0.33096208,0.020646112,0.026303745,0.061938336,42.37468959,20.00511224,19.35204543,0.004229153,0.423045021,-31.58576965,1.122598648,13.64142132,0.743464887,76.75456238,173.7805743,-7.371162415,-23.28431892,-1.732026458,28.98255563,150.9576656,0.010696575,20.27493205,0.003187312,0.029411414,0.095646828,0.806824565,0.214849189,39.31948787,30.67496152,-5.459403515,0.142109424,45.84502654,-6.798442841,0.176624462,27.09462226,26.42707223,0.002542833,30.49519512,0.000114538,-8.640971184,53.20226256,40.35753649,25.23508712,-8.612434387,0.997381628,1.784525037,1.788566828,12.4489069,0.000123123,40.20003377,29.68942119,0.000184867,230,25.61938667,0.641276181,0.826934397,-0.144595519,27.36758041,2.481441498,0.137529001,0.00169974,4.922856808,4.840839386,2.737279654,76,0.000121274,0.008976006,0.000731612,10.83002702,5.11E-06,0.078746716,0.028842364,2523.832146,0.096960267,3278.547355,5.733010334,-0.001518633,3154.270113,0.003088128,-2.985836021,1.484960318,-358.2328668,0.000707234,0.013067498,0.0099855,1.35E-05,0.399442106,3672.09994,0.000559383,0.003579428,0.009384211,3910.536052,-0.411917412,0.609451234,0.004580489,-0.000426074
